City_ID,City,Country,Max Temp,Wind Speed,Lat,Lng,Hotel Name
502,Bhawanipatna,IN,74.8,5.19,19.9,83.1667,Bhagirathi inn
503,Muborak,UZ,70.92,15.5,39.2553,65.1528,Muborak temiryoʻl vakzali
506,Denpasar,ID,78.46,10.36,-8.65,115.2167,OYO 3156 Hotel Warta 2
509,Chandbali,IN,82.13,8.01,20.7833,86.7667,Sabitri Bhavan
510,Norsup,VU,75.6,9.44,-16.0667,167.3833,Nabelchel Bungalows
511,Khani,GE,65.77,5.99,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
512,Padang,ID,77.92,2.95,-0.9492,100.3543,Mercure Padang
515,Nanchang,CN,84.99,7.92,28.6833,115.8833,Ruidu Hotel
516,Yunyang,CN,82.27,7.23,33.4474,112.7142,Post & Telecom Hotel
517,Porto Novo,BJ,76.82,6.51,6.4965,2.6036,Tour Eiffel Hotel Benin
518,Sao Joao Da Barra,BR,71.69,14.18,-21.6403,-41.0511,Pousada Porto De Canoas
519,Champasak,LA,72.59,2.71,14.75,106.0,Kiat Ngong Wetland BUNGALOW
521,Madisonville,US,82.22,1.01,37.3281,-87.4989,Days Inn by Wyndham Madisonville
522,San Quintin,MX,72.63,8.59,30.4833,-115.95,Don Eddie's Sport Fishing Center
523,Imbituba,BR,69.85,25.99,-28.24,-48.6703,Praia Hotel Imbituba
524,Bam,IR,84.27,10.42,29.106,58.357,Bam Tourist Hotel
528,Gizo,SB,80.76,8.59,-8.103,156.8419,Imagination Island
529,Pekan,MY,75.31,5.91,3.4836,103.3996,Pekan Budget Hotel
530,Rolla,US,83.21,9.22,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
531,Eydhafushi,MV,81.9,15.52,5.1033,73.0708,Soneva Fushi
534,Ler,SS,76.03,3.87,8.3018,30.1418,Leer Humanitarian Hub
